#{"t_start": 1641254759.786234, "env_id": null}
r,l,t
8.066418,189,15892.777291
6.938117,195,15902.332181
24.031081,612,15927.663136
14.895442,377,15944.470475
2.487329,103,15949.925359
15.193996,1001,15994.350481
12.130523,354,16011.285898
6.900165,312,16025.419277
3.283598,116,16030.778395
49.70632,1001,16073.651797
8.64686,228,16083.311535
8.335663,226,16094.69975
6.349978,174,16102.299695
23.535054,503,16123.596826
3.791798,124,16128.840679
4.712094,157,16135.887333
9.379409,224,16146.524341
10.775235,241,16157.423295
8.031627,527,16183.076196
6.421021,201,16193.358508
3.219372,108,16198.04356
12.191156,285,16210.705013
5.109197,151,16218.158741
11.86683,259,16230.370957
17.176558,989,16275.714827
16.719266,355,16291.430063
3.538705,115,16297.385285
7.760075,202,16306.638021
1.603426,82,16310.804686
10.879358,260,16323.581114
5.697034,282,16337.096565
1.879023,88,16341.484855
9.239544,234,16351.713874
3.828863,126,16357.46498
9.653963,280,16370.170525
7.097438,197,16379.630687
13.494647,325,16392.40319
2.983953,113,16397.049195
16.47652,392,16413.255519
12.324697,1001,16455.94816
2.274086,92,16459.727523
16.845007,356,16476.374112
